player_name,matches_played,innings_batted,not_outs,runs_scored,highest_inns_score,batting_average,balls_faced,batting_strike_rate,hundreds_scored,fifties_scored,duckes_scored,boundary_fours,boundary_sixes
AA Chavan,13,3,1,12,7*,6,11,109.09,0,0,0,2,0
SD Chitnis,1,1,0,6,6,6,8,75,0,0,0,1,0
P Chopra,1,1,0,8,8,8,6,133.33,0,0,0,2,0
KK Cooper,25,14,5,116,32,12.88,68,170.58,0,0,1,9,8
BCJ Cutting,1,1,0,8,8,8,6,133.33,0,0,0,0,1
P Dogra,9,8,0,107,41,13.37,106,100.94,0,0,1,4,5
AP Dole,3,2,0,34,30,17,22,154.54,0,0,0,3,1
ND Doshi,3,1,0,0,0,0,13,0,0,0,1,0,0
R Dravid,46,45,2,1276,66,29.67,1151,110.86,0,7,0,171,11
JP Faulkner,42,32,15,382,46,22.47,260,146.92,0,0,0,25,23
FY Fazal,12,11,1,183,45,18.3,173,105.78,0,0,1,22,1
AJ Finch,1,1,0,21,21,21,21,100,0,0,0,0,1
S Gopal,11,4,1,50,24,16.66,45,111.11,0,0,1,5,0
SP Goswami,11,6,1,69,24,13.8,67,102.98,0,0,1,4,1
K Gowtham,15,13,4,126,33*,14,64,196.87,0,0,1,9,9
Harmeet Singh,1,-,-,-,-,-,-,-,-,-,-,-,-
SM Harwood,3,2,2,9,6*,-,14,64.28,0,0,0,0,0
T Henderson,2,2,0,11,11,5.5,16,68.75,0,0,1,0,1
BJ Hodge,33,30,12,639,54*,35.5,465,137.41,0,1,0,49,24
GB Hogg,10,3,1,15,13,7.5,16,93.75,0,0,0,1,0
DJ Hooda,14,9,0,151,54,16.77,95,158.94,0,1,0,6,11
Iqbal Abdulla,1,-,-,-,-,-,-,-,-,-,-,-,-
RA Jadeja,27,22,4,430,42,23.88,369,116.53,0,0,2,32,12
AA Jhunjhunwala,13,11,2,183,53*,20.33,166,110.24,0,1,0,16,4
M Kaif,16,14,3,176,34*,16,171,102.92,0,0,0,14,6
Kamran Akmal,6,6,1,128,53*,25.6,78,164.1,0,1,0,13,8
Kamran Khan,8,2,1,3,3,3,5,60,0,0,0,0,0
H Klaasen,4,4,1,57,32,19,47,121.27,0,0,1,5,1
T Kohli,2,2,0,10,7,5,15,66.66,0,0,0,0,1
DS Kulkarni,27,6,3,45,28*,15,43,104.65,0,0,0,1,2
B Laughlin,7,2,1,1,1*,1,4,25,0,0,1,0,0
DS Lehmann,2,2,0,18,17,9,18,100,0,0,0,3,0
MK Lomror,2,2,1,20,11,20,21,95.23,0,0,0,1,0
MJ Lumb,11,11,0,278,83,25.27,192,144.79,0,1,2,45,6
VS Malik,4,1,1,1,1*,-,2,50,0,0,0,0,0
DR Martyn,1,1,0,19,19,19,24,79.16,0,0,0,1,0
AD Mascarenhas,8,7,1,60,27,10,57,105.26,0,0,1,4,1
AL Menaria,29,23,2,401,40,19.09,356,112.64,0,0,1,24,18
M Morkel,4,3,1,17,8,8.5,24,70.83,0,0,0,2,0
CH Morris,11,7,5,76,34*,38,46,165.21,0,0,1,3,5
KK Nair,25,23,2,511,73*,24.33,377,135.54,0,4,0,56,14
S Narwal,5,3,1,14,12,7,12,116.66,0,0,1,2,0
AM Nayar,5,4,1,43,23,14.33,47,91.48,0,0,0,5,1
NV Ojha,22,22,3,545,94*,28.68,429,127.03,0,4,3,53,26
JDP Oram,2,1,0,0,0,0,3,0,0,0,1,0,0
Pankaj Singh,12,2,2,5,4*,-,8,62.5,0,0,0,0,0
MM Patel,30,9,5,37,23*,9.25,32,115.62,0,0,3,5,0
NK Patel,9,6,2,121,57,30.25,119,101.68,0,1,0,14,1
YK Pathan,43,42,4,1011,100,26.6,627,161.24,1,6,1,89,61
AG Paunikar,5,5,0,49,20,9.8,58,84.48,0,0,1,9,0
MDKJ Perera,2,2,0,14,14,7,13,107.69,0,0,1,3,0
RJ Quiney,7,7,0,103,51,14.71,102,100.98,0,1,0,12,3
AM Rahane,86,80,10,2417,103*,34.52,2006,120.48,1,16,4,257,44
AS Raut,22,16,7,194,36*,21.55,167,116.16,0,0,1,13,7
M Rawat,16,10,6,50,23*,12.5,58,86.2,0,0,1,4,1
KW Richardson,7,1,0,1,1,1,2,50,0,0,0,0,0
Sachin Baby,4,1,0,3,3,3,7,42.85,0,0,0,0,0
D Salunkhe,6,3,1,33,26*,16.5,24,137.5,0,0,0,5,0
SV Samson,53,49,4,1190,92*,26.44,934,127.4,0,7,3,90,49
OA Shah,15,15,4,365,76,33.18,279,130.82,0,3,0,26,16
PR Shah,2,1,0,5,5,5,5,100,0,0,0,1,0
DJM Short,7,7,0,115,44,16.42,99,116.16,0,0,0,11,5
R Shukla,3,1,1,1,1*,-,2,50,0,0,0,0,0
A Singh,23,5,1,2,1*,0.5,10,20,0,0,3,0,0
GC Smith,25,25,3,697,91,31.68,617,112.96,0,4,2,88,9
SPD Smith,24,19,4,440,79*,29.33,331,132.93,0,2,1,46,7
IS Sodhi,6,1,0,1,1,1,6,16.66,0,0,0,0,0
Sohail Tanvir,11,5,2,36,13,12,29,124.13,0,0,0,3,1
TG Southee,10,4,2,17,7*,8.5,13,130.76,0,0,0,2,0
BB Sran,1,-,-,-,-,-,-,-,-,-,-,-,-
S Sreesanth,7,3,2,1,1*,1,4,25,0,0,1,0,0
BA Stokes,13,13,1,196,45,16.33,161,121.73,0,0,1,13,6
SW Tait,21,5,2,23,11,7.66,26,88.46,0,0,1,1,1
PV Tambe,26,5,3,11,3*,5.5,20,55,0,0,0,0,0
LRPL Taylor,12,11,6,181,47*,36.2,152,119.07,0,0,1,11,7
R Tewatia,4,1,0,16,16,16,13,123.07,0,0,0,0,1
J Theron,1,1,1,1,1*,-,1,100,0,0,0,0,0
RA Tripathi,12,12,3,226,80*,25.11,167,135.32,0,1,0,18,8
SK Trivedi,76,15,8,42,9,6,59,71.18,0,0,1,3,1
JD Unadkat,15,7,3,49,26,12.25,38,128.94,0,0,1,6,1
A Uniyal,2,2,1,4,4*,4,7,57.14,0,0,1,0,0
PC Valthaty,2,2,0,6,5,3,12,50,0,0,0,1,0
AC Voges,9,7,3,181,45*,45.25,143,126.57,0,0,0,15,3
SB Wagh,1,-,-,-,-,-,-,-,-,-,-,-,-
SK Warne,55,29,9,198,34*,9.9,214,92.52,0,0,7,14,6
SR Watson,78,76,11,2372,104*,36.49,1679,141.27,2,14,2,237,109
DH Yagnik,25,17,7,170,34,17,137,124.08,0,0,1,23,2
Younis Khan,1,1,0,3,3,3,7,42.85,0,0,0,0,0
S Ladda,5,2,1,0,0*,0,9,0,0,0,1,0,0
AR Bawne,1,1,1,12,12*,-,12,100,0,0,0,1,0
VR Aaron,12,3,1,1,1,0.5,8,12.5,0,0,1,0,0
Abhishek Sharma,3,3,2,63,46*,63,33,190.9,0,0,0,3,5
AB Agarkar,15,5,3,19,9*,9.5,22,86.36,0,0,1,1,0
MA Agarwal,21,21,1,355,68,17.75,293,121.16,0,2,1,38,11
CJ Anderson,11,11,4,142,41*,20.28,123,115.44,0,0,1,8,9
Avesh Khan,6,-,-,-,-,-,-,-,-,-,-,-,-
R Bhatia,22,11,1,66,21,6.6,63,104.76,0,0,2,4,4
SW Billings,11,10,0,226,55,22.6,168,134.52,0,2,1,23,5
TR Birt,5,5,0,75,27,15,58,129.31,0,0,0,9,2
J Botha,6,6,0,43,23,7.16,52,82.69,0,0,0,5,1
TA Boult,14,1,0,0,0,0,2,0,0,0,1,0,0
DAJ Bracewell,1,1,1,12,12*,-,9,133.33,0,0,0,1,0
CR Brathwaite,10,8,0,95,34,11.87,53,179.24,0,0,0,8,8
UBT Chand,13,13,0,196,41,15.07,204,96.07,0,0,3,19,7
B Chipli,1,1,0,16,16,16,18,88.88,0,0,0,1,1
DT Christian,4,3,1,26,13,13,33,78.78,0,0,0,0,1
PD Collingwood,8,7,2,203,75*,40.6,156,130.12,0,3,0,9,13
NM Coulter-Nile,17,8,4,29,7*,7.25,32,90.62,0,0,0,3,1
PJ Cummins,12,9,4,77,24,15.4,53,145.28,0,0,0,5,4
CJ Dala,1,-,-,-,-,-,-,-,-,-,-,-,-
Q de Kock,23,23,1,720,108,32.72,534,134.83,1,5,0,89,21
AB de Villiers,28,26,5,671,105*,31.95,572,117.3,1,3,2,51,13
S Dhawan,14,14,5,340,68*,37.77,295,115.25,0,4,1,35,8
TM Dilshan,27,26,4,566,67*,25.72,473,119.66,0,4,3,62,16
AB Dinda,6,1,0,0,0,0,5,0,0,0,1,0,0
JP Duminy,38,35,12,1015,78*,44.13,776,130.79,0,6,0,62,43
AJ Finch,8,8,0,102,30,12.75,97,105.15,0,0,2,11,3
G Gambhir,46,44,4,1182,86,29.55,962,122.86,0,9,2,140,13
CM Gautam,4,4,1,48,30,16,39,123.07,0,0,0,4,1
B Geeves,2,-,-,-,-,-,-,-,-,-,-,-,-
Sunny Gupta,1,1,0,0,0,0,1,0,0,0,1,0,0
MC Henriques,1,1,0,11,11,11,5,220,0,0,0,2,0
JR Hopes,10,8,3,196,55,39.2,158,124.05,0,2,0,22,3
Imran Tahir,20,5,1,18,5,4.5,23,78.26,0,0,0,3,0
CA Ingram,3,3,1,21,13*,10.5,26,80.76,0,0,0,2,0
SS Iyer,46,46,6,1218,96,30.45,938,129.85,0,10,5,108,53
KM Jadhav,41,37,14,566,63*,24.6,421,134.44,0,2,4,44,21
DPMD Jayawardene,31,30,3,666,66,24.66,611,109,0,5,1,78,9
MC Juneja,7,7,0,125,49,17.85,128,97.65,0,0,0,11,1
KD Karthik,56,49,8,1036,69,25.26,819,126.49,0,6,2,87,30
S Kaul,11,3,3,9,7*,-,11,81.81,0,0,0,0,0
Z Khan,30,5,2,10,4,3.33,26,38.46,0,0,0,1,0
S Lamichhane,3,-,-,-,-,-,-,-,-,-,-,-,-
AB McDonald,6,5,3,76,33*,38,63,120.63,0,0,0,3,2
GD McGrath,14,3,2,4,4*,4,5,80,0,0,1,1,0
MF Maharoof,20,14,4,177,39,17.7,123,143.9,0,0,2,12,9
VY Mahesh,13,5,3,15,6*,7.5,27,55.55,0,0,0,0,0
M Manhas,20,14,7,232,32*,33.14,211,109.95,0,0,2,21,1
AD Mathews,14,12,3,176,31,19.55,131,134.35,0,0,1,14,7
GJ Maxwell,14,14,1,175,47,13.46,131,133.58,0,0,0,14,9
BMAJ Mendis,3,3,0,23,12,7.66,27,85.18,0,0,1,0,0
A Mishra,81,28,13,164,31,10.93,193,84.97,0,0,3,8,4
Mohammad Asif,8,2,0,3,3,1.5,6,50,0,0,1,0,0
Mohammed Shami,32,13,6,48,21,6.85,41,117.07,0,0,1,5,2
JA Morkel,4,3,2,86,73*,86,65,132.3,0,1,0,9,2
M Morkel,37,15,6,100,23*,11.11,59,169.49,0,0,5,9,4
CH Morris,25,20,11,395,82*,43.88,229,172.48,0,2,1,33,20
C Munro,5,5,0,63,33,12.6,41,153.65,0,0,2,7,4
DJ Muthuswami,6,2,1,1,1,1,3,33.33,0,0,0,0,0
S Nadeem,61,19,7,32,6*,2.66,78,41.02,0,0,5,1,0
Y Nagar,26,20,6,285,44*,20.35,259,110.03,0,0,2,20,9
KK Nair,28,25,2,638,83*,27.73,523,121.98,0,4,1,79,12
DP Nannes,22,2,1,4,3,4,13,30.76,0,0,0,0,0
JDS Neesham,4,3,0,42,22,14,46,91.3,0,0,0,3,1
P Negi,17,10,6,93,19*,23.25,88,105.68,0,0,0,6,4
A Nehra,27,8,3,25,22*,5,29,86.2,0,0,3,2,1
NV Ojha,35,33,7,425,64*,16.34,399,106.51,0,1,2,33,24
RR Pant,38,38,3,1248,128*,35.65,767,162.71,1,8,4,115,67
WD Parnell,8,2,1,2,2,2,2,100,0,0,0,0,0
HV Patel,5,2,1,60,36*,60,33,181.81,0,0,0,1,6
IK Pathan,46,37,14,468,44*,20.34,416,112.5,0,0,2,35,15
KP Pietersen,19,19,4,599,103*,39.93,440,136.13,1,2,1,56,27
LE Plunkett,7,2,1,1,1*,1,3,33.33,0,0,1,0,0
K Rabada,6,3,0,55,44,18.33,64,85.93,0,0,1,5,1
BJ Rohrer,8,8,2,193,64*,32.16,140,137.85,0,1,0,21,5
JJ Roy,5,5,1,120,91*,30,94,127.65,0,1,0,9,7
AD Russell,7,4,0,58,31,14.5,40,145,0,0,0,3,3
AM Salvi,7,-,-,-,-,-,-,-,-,-,-,-,-
SV Samson,28,28,3,677,102,27.08,532,127.25,1,3,2,52,27
MN Samuels,5,4,0,29,27,7.25,31,93.54,0,0,1,1,2
GS Sandhu,3,-,-,-,-,-,-,-,-,-,-,-,-
PJ Sangwan,28,9,5,18,6*,4.5,29,62.06,0,0,2,0,0
V Sehwag,79,79,5,2174,119,29.37,1356,160.32,1,15,6,266,85
V Shankar,13,11,7,212,54*,53,148,143.24,0,1,0,11,11
R Sharma,2,-,-,-,-,-,-,-,-,-,-,-,-
PP Shaw,9,9,0,245,65,27.22,160,153.12,0,2,0,27,10
Shoaib Malik,7,5,1,52,24,13,47,110.63,0,0,0,5,0
LR Shukla,5,3,0,31,21,10.33,38,81.57,0,0,1,2,1
R Shukla,3,3,2,18,14,18,21,85.71,0,0,0,2,0
S Sriram,1,1,0,4,4,4,7,57.14,0,0,0,0,0
AP Tare,3,3,0,18,18,6,23,78.26,0,0,2,3,0
LRPL Taylor,16,16,3,256,55,19.69,230,111.3,0,1,1,18,7
R Tewatia,8,5,2,50,24,16.66,43,116.27,0,0,0,5,1
MK Tiwary,24,19,7,322,61*,26.83,272,118.38,0,1,2,39,5
SS Tiwary,7,6,6,109,28*,-,78,139.74,0,0,0,9,5
JD Unadkat,10,2,1,1,1*,1,6,16.66,0,0,1,0,0
RE van der Merwe,10,6,4,36,14,18,41,87.8,0,0,0,3,0
Y Venugopal Rao,25,21,3,468,60,26,406,115.27,0,1,0,38,18
DL Vettori,12,7,4,67,29,22.33,59,113.55,0,0,0,7,0
M Vijay,11,11,0,207,52,18.81,192,107.81,0,1,1,20,5
MS Wade,3,3,0,22,11,7.33,33,66.66,0,0,0,0,0
DA Warner,55,55,5,1435,109*,28.7,1078,133.11,2,10,5,146,58
J Yadav,10,2,0,6,5,3,10,60,0,0,0,0,0
UT Yadav,47,14,10,44,12*,11,54,81.48,0,0,2,3,1
Yuvraj Singh,14,13,0,248,57,19.07,210,118.09,0,2,1,23,10
S Ladda,3,-,-,-,-,-,-,-,-,-,-,-,-
AB Agarkar,27,17,9,160,39,20,132,121.21,0,0,0,12,5
Anureet Singh,3,-,-,-,-,-,-,-,-,-,-,-,-
Azhar Mahmood,1,1,0,6,6,6,7,85.71,0,0,0,1,0
L Balaji,35,5,4,13,9*,13,12,108.33,0,0,1,1,0
SB Bangar,1,1,0,2,2,2,9,22.22,0,0,0,0,0
R Bhatia,46,22,10,159,26*,13.25,130,122.3,0,0,0,15,3
MS Bisla,27,27,1,543,92,20.88,494,109.91,0,3,2,60,16
SE Bond,8,1,0,1,1,1,2,50,0,0,0,0,0
J Botha,4,3,0,31,17,10.33,15,206.66,0,0,0,5,1
MV Boucher,4,3,2,6,5,6,6,100,0,0,0,0,0
TA Boult,6,1,1,5,5*,-,8,62.5,0,0,0,0,0
DM Bravo,1,1,1,6,6*,-,5,120,0,0,0,1,0
KC Cariappa,1,-,-,-,-,-,-,-,-,-,-,-,-
PP Chawla,57,24,9,141,22,9.4,132,106.81,0,0,5,14,4
A Chopra,7,6,0,53,24,8.83,71,74.64,0,0,0,7,0
NM Coulter-Nile,8,3,0,14,6,4.66,12,116.66,0,0,0,0,2
PJ Cummins,4,1,0,0,0,0,2,0,0,0,1,0,0
TK Curran,5,4,1,23,18,7.66,28,82.14,0,0,0,3,0
DB Das,31,22,8,304,35*,21.71,261,116.47,0,0,1,23,16
C de Grandhomme,12,9,1,126,36,15.75,92,136.95,0,0,3,10,6
M de Lange,3,-,-,-,-,-,-,-,-,-,-,-,-
AB Dinda,29,6,2,4,2,1,8,50,0,0,2,0,0
P Dogra,1,1,0,5,5,5,8,62.5,0,0,0,0,0
G Gambhir,108,108,12,3035,93,31.61,2442,124.28,0,27,10,352,46
SC Ganguly,40,38,2,1031,91,28.63,933,110.5,0,7,3,104,36
RS Gavaskar,2,1,0,2,2,2,8,25,0,0,0,0,0
CH Gayle,16,16,1,463,88,30.86,327,141.59,0,2,1,45,26
AN Ghosh,2,2,0,7,7,3.5,8,87.5,0,0,1,1,0
SP Goswami,5,4,0,29,22,7.25,29,100,0,0,1,5,0
BJ Haddin,1,1,0,18,18,18,11,163.63,0,0,0,2,1
Harpreet Singh,1,-,-,-,-,-,-,-,-,-,-,-,-
JW Hastings,2,-,-,-,-,-,-,-,-,-,-,-,-
MC Henriques,4,3,1,38,30*,19,40,95,0,0,0,2,1
BJ Hodge,19,19,3,476,73,29.75,417,114.14,0,4,2,47,10
GB Hogg,11,3,2,7,5,7,6,116.66,0,0,0,0,0
JO Holder,4,4,0,22,13,5.5,19,115.78,0,0,1,2,1
DJ Hussey,23,23,4,511,71,26.89,404,126.48,0,2,3,31,28
Iqbal Abdulla,33,8,8,26,12*,-,32,81.25,0,0,0,1,0
SP Jackson,4,3,1,38,16,19,31,122.58,0,0,0,5,0
IR Jaggi,2,2,1,33,28,33,39,84.61,0,0,0,3,0
MG Johnson,6,2,2,16,12*,-,11,145.45,0,0,0,2,0
JH Kallis,56,54,5,1295,80*,26.42,1213,106.76,0,7,5,128,23
KD Karthik,16,16,6,498,52,49.8,337,147.77,0,2,0,49,16
M Kartik,26,7,2,73,21,14.6,69,105.79,0,0,0,5,0
Kuldeep Yadav,31,5,2,32,16,10.66,46,69.56,0,0,0,3,0
CK Langeveldt,4,1,0,0,0,0,1,0,0,0,1,0,0
B Lee,25,9,3,68,25,11.33,41,165.85,0,0,0,3,6
CA Lynn,27,27,3,869,93*,36.2,611,142.22,0,6,1,86,41
BB McCullum,35,35,3,882,158*,27.56,731,120.65,1,4,2,92,32
R McLaren,2,2,0,3,2,1.5,6,50,0,0,0,0,0
Mandeep Singh,3,2,0,4,4,2,11,36.36,0,0,1,1,0
Mashrafe Mortaza,1,1,1,2,2*,-,2,100,0,0,0,0,0
AD Mathews,15,12,4,249,65*,31.12,197,126.39,0,1,1,20,8
BAW Mendis,7,2,1,1,1*,1,2,50,0,0,1,0,0
Mohammad Hafeez,8,8,1,64,16,9.14,83,77.1,0,0,0,7,2
Mohammed Shami,3,1,0,5,5,5,10,50,0,0,0,0,0
EJG Morgan,26,22,2,444,66,22.2,357,124.36,0,2,1,45,16
M Morkel,29,5,5,9,4*,-,7,128.57,0,0,0,0,0
C Munro,4,3,0,30,16,10,30,100,0,0,0,3,0
SP Narine,98,48,12,628,75,17.44,372,168.81,0,3,4,76,35
S Narwal,2,1,0,23,23,23,15,153.33,0,0,0,4,0
MK Pandey,55,52,12,1270,94,31.75,1015,125.12,0,6,3,102,38
MB Parmar,1,-,-,-,-,-,-,-,-,-,-,-,-
YK Pathan,106,91,31,1893,72,31.55,1369,138.27,0,7,7,150,85
RT Ponting,4,4,0,39,20,9.75,53,73.58,0,0,2,2,1
M Prasidh Krishna,7,2,2,1,1*,-,5,20,0,0,0,0,0
CA Pujara,10,6,2,122,45*,30.5,115,106.08,0,0,0,14,3
AS Rajpoot,9,1,0,4,4,4,7,57.14,0,0,0,1,0
N Rana,15,15,2,304,59,23.38,232,131.03,0,1,0,26,14
AD Russell,43,35,6,832,88*,28.68,462,180.08,0,4,1,62,65
WP Saha,33,24,13,298,59*,27.09,213,139.9,0,1,1,24,12
Salman Butt,7,7,0,193,73,27.57,161,119.87,0,1,0,30,2
PJ Sangwan,3,1,1,4,4*,-,2,200,0,0,0,1,0
SS Sarkar,2,-,-,-,-,-,-,-,-,-,-,-,-
R Sathish,4,3,0,24,10,8,24,100,0,0,0,1,1
JPR Scantlebury-Searles,4,2,1,8,6*,8,6,133.33,0,0,0,0,1
SMSM Senanayake,8,4,3,10,7*,10,17,58.82,0,0,0,0,0
OA Shah,5,5,3,115,58*,57.5,95,121.05,0,1,0,7,5
SS Shaikh,2,1,0,6,6,6,7,85.71,0,0,0,1,0
Shakib Al Hasan,43,32,9,498,66*,21.65,382,130.36,0,2,2,44,15
I Sharma,31,11,7,33,9,8.25,41,80.48,0,0,1,2,1
Shivam Mavi,9,4,1,13,7,4.33,15,86.66,0,0,1,1,0
Shoaib Akhtar,3,1,0,2,2,2,7,28.57,0,0,0,0,0
Shubman Gill,13,11,5,203,57*,33.83,139,146.04,0,1,0,22,5
LR Shukla,42,31,7,374,48*,15.58,312,119.87,0,0,2,31,14
RK Singh,4,4,0,29,16,7.25,31,93.54,0,0,0,4,0
T Taibu,3,3,0,31,15,10.33,26,119.23,0,0,0,3,0
RN ten Doeschate,29,22,8,326,70*,23.28,235,138.72,0,1,3,26,15
MK Tiwary,54,49,15,1002,75*,29.47,897,111.7,0,4,5,82,23
Umar Gul,6,4,1,39,24,13,19,205.26,0,0,0,1,5
JD Unadkat,12,-,-,-,-,-,-,-,-,-,-,-,-
RV Uthappa,74,73,2,2157,87,30.38,1545,139.61,0,15,3,227,75
MN van Wyk,5,5,2,167,74,55.66,132,126.51,0,1,1,19,1
R Vinay Kumar,11,5,3,10,6*,5,9,111.11,0,0,1,1,0
CR Woakes,13,7,3,46,18,11.5,47,97.87,0,0,0,4,1
SA Yadav,54,41,14,608,60,22.51,461,131.88,0,1,1,54,21
UT Yadav,47,11,8,50,24*,16.66,36,138.88,0,0,1,5,2
Yashpal Singh,8,4,0,47,20,11.75,66,71.21,0,0,0,5,0
KK Ahmed,1,-,-,-,-,-,-,-,-,-,-,-,-
Anand Rajan,2,-,-,-,-,-,-,-,-,-,-,-,-
S Anirudha,1,1,0,3,3,3,5,60,0,0,0,0,0
Ankit Sharma,1,-,-,-,-,-,-,-,-,-,-,-,-
A Ashish Reddy,22,18,7,245,36*,22.27,164,149.39,0,0,0,14,13
Basil Thampi,4,2,1,3,3,3,6,50,0,0,0,0,0
RK Bhui,1,1,0,0,0,0,5,0,0,0,1,0,0
Bipul Sharma,18,8,4,83,27*,20.75,51,162.74,0,0,0,3,6
RS Bopara,9,8,3,145,41,29,120,120.83,0,0,1,6,6
TA Boult,8,-,-,-,-,-,-,-,-,-,-,-,-
CR Brathwaite,4,4,1,75,43*,25,48,156.25,0,0,0,1,8
BCJ Cutting,8,7,3,116,39*,29,60,193.33,0,0,1,9,9
Q de Kock,3,3,0,6,4,2,15,40,0,0,1,1,0
S Dhawan,85,85,12,2518,92*,34.49,2026,124.28,0,19,3,294,49
AJ Finch,13,13,2,309,88*,28.09,263,117.49,0,2,0,31,9
SP Goswami,6,3,0,52,35,17.33,40,130,0,0,0,6,1
AD Hales,6,6,0,148,45,24.66,118,125.42,0,0,0,13,6
MC Henriques,42,37,10,755,74*,27.96,586,128.83,0,5,2,63,23
JO Holder,1,1,0,16,16,16,12,133.33,0,0,0,2,1
DJ Hooda,36,29,8,309,34,14.71,254,121.65,0,0,0,16,12
CJ Jordan,2,1,0,0,0,0,1,0,0,0,1,0,0
S Kaul,27,5,2,3,2,1,16,18.75,0,0,1,0,0
B Kumar,71,19,8,78,21,7.09,61,127.86,0,0,3,9,2
P Kumar,12,4,1,17,12,5.66,25,68,0,0,1,1,0
A Mishra,27,10,3,93,30,13.28,103,90.29,0,0,3,9,0
Mohammad Nabi,5,3,0,20,14,6.66,15,133.33,0,0,0,3,0
Mohammed Siraj,6,-,-,-,-,-,-,-,-,-,-,-,-
EJG Morgan,16,15,2,310,63,23.84,256,121.09,0,2,1,19,15
Mustafizur Rahman,17,-,-,-,-,-,-,-,-,-,-,-,-
A Nehra,14,4,4,1,1*,-,1,100,0,0,0,0,0
NV Ojha,56,39,9,584,79*,19.46,485,120.41,0,1,3,35,29
MK Pandey,15,13,2,284,62*,25.81,246,115.44,0,3,1,22,5
Parvez Rasool,5,2,2,2,2*,-,2,100,0,0,0,0,0
PA Patel,13,13,0,294,61,22.61,255,115.29,0,1,0,37,4
IK Pathan,10,6,4,55,23*,27.5,54,101.85,0,0,0,5,0
YK Pathan,15,13,4,260,45*,28.88,200,130,0,0,0,22,11
NLTC Perera,16,14,4,233,40,23.3,163,142.94,0,0,0,12,14
KL Rahul,20,16,3,308,46,23.69,290,106.2,0,0,0,20,8
Rashid Khan,31,10,3,70,34*,10,40,175,0,0,2,3,7
DB Ravi Teja,2,2,1,14,10,14,17,82.35,0,0,0,0,0
PA Reddy,7,7,0,91,27,13,101,90.09,0,0,0,9,0
WP Saha,11,10,2,122,35,15.25,102,119.6,0,0,1,17,1
BB Samantray,8,7,2,123,55,24.6,111,110.81,0,1,1,13,2
DJG Sammy,20,18,5,282,60,21.69,223,126.45,0,1,2,15,18
Sandeep Sharma,12,3,1,0,0*,0,4,0,0,0,2,0,0
KC Sangakkara,9,9,0,120,28,13.33,136,88.23,0,0,0,13,0
V Shankar,4,4,2,101,63*,50.5,75,134.66,0,1,0,12,1
Shakib Al Hasan,17,13,2,239,35,21.72,197,121.31,0,0,0,26,5
I Sharma,23,2,2,0,0*,-,0,-,0,0,0,0,0
KV Sharma,46,27,13,267,39*,19.07,230,116.08,0,0,1,13,12
BB Sran,15,4,4,4,2*,-,4,100,0,0,0,0,0
B Stanlake,4,1,1,5,5*,-,2,250,0,0,0,1,0
DW Steyn,37,15,9,95,19*,15.83,75,126.66,0,0,2,9,2
AP Tare,3,2,0,8,8,4,15,53.33,0,0,1,1,0
X Thalaivan Sargunam,1,1,0,10,10,10,17,58.82,0,0,0,0,0
Y Venugopal Rao,7,5,2,71,27,23.66,63,112.69,0,0,0,8,0
GH Vihari,22,21,3,280,46,15.55,313,89.45,0,0,0,23,1
DA Warner,59,59,10,2579,126,52.63,1746,147.7,1,26,2,255,102
CL White,13,13,1,209,52,17.41,191,109.42,0,1,2,18,7
KS Williamson,32,32,5,1146,89,42.44,834,137.41,0,11,1,98,39
Yuvraj Singh,22,21,3,488,70*,27.11,356,137.07,0,2,1,52,21
MA Agarwal,3,3,0,26,20,8.66,27,96.29,0,0,1,3,0
Ankit Sharma,4,2,1,28,25,28,18,155.55,0,0,0,2,1
M Ashwin,10,1,0,0,0,0,1,0,0,0,1,0,0
R Ashwin,14,6,4,41,29,20.5,38,107.89,0,0,1,3,1
GJ Bailey,6,5,1,84,34,21,98,85.71,0,0,1,9,2
R Bhatia,13,8,6,50,21,25,37,135.13,0,0,0,1,3
SM Boland,2,-,-,-,-,-,-,-,-,-,-,-,-
DL Chahar,5,1,0,14,14,14,6,233.33,0,0,0,0,2
RD Chahar,3,1,1,3,3*,-,2,150,0,0,0,0,0
DT Christian,13,9,4,79,17*,15.8,49,161.22,0,0,0,5,5
MS Dhoni,30,27,9,574,64*,31.88,460,124.78,0,2,0,33,30
AB Dinda,12,1,0,7,7,7,7,100,0,0,0,1,0
F du Plessis,8,7,0,214,69,30.57,169,126.62,0,2,0,18,9
LH Ferguson,4,1,1,1,1*,-,1,100,0,0,0,0,0
PSP Handscomb,2,1,0,6,6,6,12,50,0,0,0,0,0
Imran Tahir,12,1,1,0,0*,-,2,0,0,0,0,0,0
UT Khawaja,6,6,0,127,30,21.16,100,127,0,0,0,14,3
MR Marsh,3,1,0,7,7,7,11,63.63,0,0,0,0,0
JA Morkel,2,1,0,16,16,16,9,177.77,0,0,0,0,2
IK Pathan,4,3,0,11,7,3.66,13,84.61,0,0,0,0,0
NLTC Perera,12,10,3,150,34,21.42,93,161.29,0,0,0,7,11
KP Pietersen,4,4,2,73,37,36.5,61,119.67,0,0,0,4,3
AM Rahane,30,30,4,862,74,33.15,702,122.79,0,8,4,89,18
I Sharma,4,1,1,0,0*,-,0,-,0,0,0,0,0
RP Singh,4,-,-,-,-,-,-,-,-,-,-,-,-
SPD Smith,23,22,4,742,101,41.22,563,131.79,1,3,0,65,20
