player_name,matches_played,innings_bowled,overs_bowled,maidens_earned,runs_conceded,wickets_taken,best_innings_bowling,bowling_average,economy_rate,bowling_strike_rate,four_wkts_in_an_inns,five_wkts_in_an_inns,catches_taken,stumpings_made
DJ Hooda,36,11,20,0,163,5,2/16,32.6,8.15,24,0,0,11,0
CJ Jordan,2,2,5,0,40,1,1/9,40,8,30,0,0,0,0
S Kaul,27,27,101.4,0,847,37,4/29,22.89,8.33,16.4,1,0,5,0
B Kumar,71,71,269.2,5,1974,96,5/19,20.56,7.32,16.8,2,1,19,0
P Kumar,12,12,36,0,329,7,2/35,47,9.13,30.8,0,0,3,0
A Mishra,27,27,99.3,1,734,28,4/19,26.21,7.37,21.3,1,0,2,0
Mohammad Nabi,5,5,16,0,105,3,1/13,35,6.56,32,0,0,0,0
Mohammed Siraj,6,6,23,0,212,10,4/32,21.2,9.21,13.8,1,0,1,0
EJG Morgan,16,-,-,-,-,-,-,-,-,-,-,-,8,0
Mustafizur Rahman,17,17,63.4,1,455,17,3/16,26.76,7.14,22.4,0,0,2,0
A Nehra,14,14,47.1,1,396,17,3/15,23.29,8.39,16.6,0,0,2,0
NV Ojha,56,-,-,-,-,-,-,-,-,-,-,-,36,2
MK Pandey,15,-,-,-,-,-,-,-,-,-,-,-,9,0
Parvez Rasool,5,5,14,0,114,2,1/20,57,8.14,42,0,0,1,0
PA Patel,13,-,-,-,-,-,-,-,-,-,-,-,5,3
IK Pathan,10,10,23.4,0,205,4,2/10,51.25,8.66,35.5,0,0,2,0
YK Pathan,15,1,2,0,14,1,1/14,14,7,12,0,0,3,0
NLTC Perera,16,16,59.4,0,478,19,3/20,25.15,8.01,18.8,0,0,5,0
KL Rahul,20,-,-,-,-,-,-,-,-,-,-,-,5,0
Rashid Khan,31,31,122,2,816,38,3/19,21.47,6.68,19.2,0,0,11,0
DB Ravi Teja,2,-,-,-,-,-,-,-,-,-,-,-,0,0
PA Reddy,7,-,-,-,-,-,-,-,-,-,-,-,2,0
WP Saha,11,-,-,-,-,-,-,-,-,-,-,-,5,1
BB Samantray,8,-,-,-,-,-,-,-,-,-,-,-,3,0
DJG Sammy,20,17,36.2,0,325,11,4/22,29.54,8.94,19.8,1,0,8,0
Sandeep Sharma,12,12,44,0,333,12,2/17,27.75,7.56,22,0,0,2,0
KC Sangakkara,9,-,-,-,-,-,-,-,-,-,-,-,3,0
V Shankar,4,-,-,-,-,-,-,-,-,-,-,-,1,0
Shakib Al Hasan,17,17,57,0,456,14,2/18,32.57,8,24.4,0,0,3,0
I Sharma,23,23,84.4,2,726,19,3/27,38.21,8.57,26.7,0,0,6,0
KV Sharma,46,46,141.4,1,1109,36,4/38,30.8,7.82,23.6,1,0,8,0
BB Sran,15,15,51.3,0,442,14,3/28,31.57,8.58,22,0,0,2,0
B Stanlake,4,4,16,0,130,5,2/21,26,8.12,19.2,0,0,0,0
DW Steyn,37,37,142.5,3,985,33,3/11,29.84,6.89,25.9,0,0,12,0
AP Tare,3,-,-,-,-,-,-,-,-,-,-,-,1,0
X Thalaivan Sargunam,1,-,-,-,-,-,-,-,-,-,-,-,0,0
Y Venugopal Rao,7,2,2,0,16,0,-,-,8,-,0,0,2,0
GH Vihari,22,5,6,0,38,1,1/5,38,6.33,36,0,0,6,0
DA Warner,59,-,-,-,-,-,-,-,-,-,-,-,30,0
CL White,13,2,2,0,16,1,1/14,16,8,12,0,0,10,0
KS Williamson,32,1,1,0,7,0,-,-,7,-,0,0,14,0
Yuvraj Singh,22,7,8.1,0,74,1,1/6,74,9.06,49,0,0,4,0
MA Agarwal,3,-,-,-,-,-,-,-,-,-,-,-,1,0
Ankit Sharma,4,4,12,0,100,1,1/27,100,8.33,72,0,0,1,0
M Ashwin,10,10,28.3,0,241,7,3/36,34.42,8.45,24.4,0,0,0,0
R Ashwin,14,14,44,0,319,10,4/34,31.9,7.25,26.4,1,0,3,0
GJ Bailey,6,-,-,-,-,-,-,-,-,-,-,-,2,0
R Bhatia,13,13,41,1,299,8,2/14,37.37,7.29,30.7,0,0,4,0
SM Boland,2,2,7,0,54,2,2/31,27,7.71,21,0,0,0,0
DL Chahar,5,5,12,0,115,1,1/35,115,9.58,72,0,0,1,0
RD Chahar,3,2,7,0,58,2,1/26,29,8.28,21,0,0,1,0
DT Christian,13,13,40,0,298,11,2/10,27.09,7.45,21.8,0,0,6,0
MS Dhoni,30,-,-,-,-,-,-,-,-,-,-,-,18,7
AB Dinda,12,12,40.3,2,350,12,3/20,29.16,8.64,20.2,0,0,0,0
F du Plessis,8,-,-,-,-,-,-,-,-,-,-,-,4,0
LH Ferguson,4,4,13,1,93,3,2/7,31,7.15,26,0,0,0,0
PSP Handscomb,2,-,-,-,-,-,-,-,-,-,-,-,0,0
Imran Tahir,12,12,47,0,369,18,3/18,20.5,7.85,15.6,0,0,2,0
UT Khawaja,6,-,-,-,-,-,-,-,-,-,-,-,1,0
MR Marsh,3,3,9,0,45,4,2/14,11.25,5,13.5,0,0,0,0
JA Morkel,2,2,5,0,66,2,2/36,33,13.2,15,0,0,1,0
IK Pathan,4,3,8,0,61,0,-,-,7.62,-,0,0,1,0
NLTC Perera,12,11,33.1,0,326,9,3/34,36.22,9.82,22.1,0,0,5,0
KP Pietersen,4,-,-,-,-,-,-,-,-,-,-,-,1,0
AM Rahane,30,-,-,-,-,-,-,-,-,-,-,-,13,0
I Sharma,4,4,15,0,148,3,2/36,49.33,9.86,30,0,0,2,0
RP Singh,4,4,12,0,111,3,1/23,37,9.25,24,0,0,0,0
SPD Smith,23,-,-,-,-,-,-,-,-,-,-,-,9,0
BA Stokes,12,12,44,1,316,12,3/18,26.33,7.18,22,0,0,5,0
SN Thakur,12,12,38.1,0,315,11,3/19,28.63,8.25,20.8,0,0,4,0
MK Tiwary,15,-,-,-,-,-,-,-,-,-,-,-,6,0
SS Tiwary,10,-,-,-,-,-,-,-,-,-,-,-,4,0
RA Tripathi,14,1,1,0,12,0,-,-,12,-,0,0,5,0
JD Unadkat,12,12,45.5,3,322,24,5/30,13.41,7.02,11.4,0,1,9,0
Washington Sundar,11,10,30,0,185,8,3/16,23.12,6.16,22.5,0,0,5,0
A Zampa,11,11,36.5,0,278,19,6/19,14.63,7.54,11.6,0,1,0,0
VR Aaron,24,23,77.4,1,703,21,3/16,33.47,9.05,22.1,0,0,1,0
SA Abbott,2,2,5,0,57,0,-,-,11.4,-,0,0,0,0
Abdur Razzak,1,1,2,0,29,0,-,-,14.5,-,0,0,0,0
MA Agarwal,29,-,-,-,-,-,-,-,-,-,-,-,15,0
AN Ahmed,7,7,26.2,0,241,4,1/18,60.25,9.15,39.5,0,0,0,0
B Akhil,14,12,29.2,0,220,6,2/17,36.66,7.5,29.3,0,0,3,0
MM Ali,5,5,13.1,0,97,3,1/13,32.33,7.36,26.3,0,0,2,0
CJ Anderson,3,3,8.4,0,115,3,2/47,38.33,13.26,17.3,0,0,0,0
KP Appanna,14,13,36,0,286,9,4/19,31.77,7.94,24,1,0,1,0
S Aravind,38,38,126.4,0,1039,45,4/14,23.08,8.2,16.8,2,0,8,0
KB Arun Karthik,16,-,-,-,-,-,-,-,-,-,-,-,11,2
J Arunkumar,3,-,-,-,-,-,-,-,-,-,-,-,0,0
M Ashwin,2,2,7,0,53,3,2/36,17.66,7.57,14,0,0,0,0
Avesh Khan,1,1,4,0,23,1,1/23,23,5.75,24,0,0,0,0
S Badree,7,7,25,1,188,9,4/9,20.88,7.52,16.6,1,0,2,0
RR Bhatkal,1,1,2,0,35,0,-,-,17.5,-,0,0,1,0
STR Binny,22,15,23,0,184,5,1/9,36.8,8,27.6,0,0,4,0
R Bishnoi,3,-,-,-,-,-,-,-,-,-,-,-,1,0
MS Bisla,2,-,-,-,-,-,-,-,-,-,-,-,1,0
MV Boucher,27,-,-,-,-,-,-,-,-,-,-,-,13,3
YS Chahal,69,68,244.3,2,1898,82,4/25,23.14,7.76,17.8,1,0,16,0
S Chanderpaul,3,-,-,-,-,-,-,-,-,-,-,-,0,0
B Chipli,3,-,-,-,-,-,-,-,-,-,-,-,1,0
A Choudhary,5,5,16.5,2,144,5,2/17,28.8,8.55,20.2,0,0,0,0
DT Christian,2,2,6,0,55,0,-,-,9.16,-,0,0,0,0
C de Grandhomme,9,7,15,0,129,2,1/8,64.5,8.6,45,0,0,3,0
Q de Kock,8,-,-,-,-,-,-,-,-,-,-,-,7,3
AB de Villiers,113,-,-,-,-,-,-,-,-,-,-,-,65,7
TM Dilshan,25,12,20,0,195,1,1/30,195,9.75,120,0,0,7,0
AB Dinda,11,11,36,0,332,5,1/14,66.4,9.22,43.2,0,0,1,0
ND Doshi,1,1,4,0,17,1,1/17,17,4.25,24,0,0,0,0
R Dravid,43,-,-,-,-,-,-,-,-,-,-,-,8,0
D du Preez,2,2,7,1,56,4,3/32,14,8,10.5,0,0,0,0
CH Gayle,85,24,56.4,0,428,13,3/21,32.92,7.55,26.1,0,0,16,0
SP Goswami,7,-,-,-,-,-,-,-,-,-,-,-,3,2
TM Head,10,5,8,0,81,2,2/30,40.5,10.12,24,0,0,3,0
MC Henriques,10,8,21.1,0,185,7,2/14,26.42,8.74,18.1,0,0,5,0
Iqbal Abdulla,15,15,49,1,418,12,3/40,34.83,8.53,24.5,0,0,5,0
KM Jadhav,17,-,-,-,-,-,-,-,-,-,-,-,8,3
W Jaffer,8,-,-,-,-,-,-,-,-,-,-,-,4,0
SB Jakati,1,1,3.4,0,41,0,-,-,11.18,-,0,0,0,0
CJ Jordan,9,9,28,0,258,11,4/11,23.45,9.21,15.2,1,0,4,0
SB Joshi,4,4,9.1,0,82,1,1/27,82,8.94,55,0,0,0,0
M Kaif,9,-,-,-,-,-,-,-,-,-,-,-,5,0
JH Kallis,42,41,137.2,2,1140,23,2/3,49.56,8.3,35.8,0,0,15,0
KD Karthik,16,-,-,-,-,-,-,-,-,-,-,-,14,4
M Kartik,11,11,39,0,284,9,2/24,31.55,7.28,26,0,0,4,0
AA Kazi,1,1,2,0,21,0,-,-,10.5,-,0,0,0,0
SN Khan,25,-,-,-,-,-,-,-,-,-,-,-,2,0
Z Khan,44,43,167,2,1312,49,4/17,26.77,7.85,20.4,1,0,11,0
K Khejroliya,3,3,10.5,0,107,2,2/33,53.5,9.87,32.5,0,0,0,0
V Kohli,163,26,41.5,0,368,4,2/25,92,8.79,62.7,0,0,68,0
P Kumar,38,38,139.2,2,1140,34,3/18,33.52,8.18,24.5,0,0,5,0
A Kumble,42,42,160.5,1,1058,45,5/5,23.51,6.57,21.4,2,1,10,0
CK Langeveldt,3,3,11,0,84,5,2/10,16.8,7.63,13.2,0,0,0,0
BB McCullum,6,-,-,-,-,-,-,-,-,-,-,-,1,0
AB McDonald,5,4,12,0,78,6,2/25,13,6.5,12,0,0,0,0
NJ Maddinson,3,-,-,-,-,-,-,-,-,-,-,-,1,0
Mandeep Singh,40,-,-,-,-,-,-,-,-,-,-,-,18,0
TS Mills,5,5,17.5,0,153,5,2/31,30.6,8.57,21.4,0,0,1,0
AF Milne,5,5,18,0,177,4,2/27,44.25,9.83,27,0,0,5,0
Misbah-ul-Haq,8,-,-,-,-,-,-,-,-,-,-,-,1,0
A Mithun,16,16,48,0,472,7,2/37,67.42,9.83,41.1,0,0,7,0
Mohammed Siraj,11,11,41,0,367,11,3/25,33.36,8.95,22.3,0,0,5,0
EJG Morgan,6,-,-,-,-,-,-,-,-,-,-,-,4,0
JA Morkel,7,6,16,0,126,4,1/18,31.5,7.87,24,0,0,2,0
A Mukund,1,-,-,-,-,-,-,-,-,-,-,-,0,0
M Muralitharan,21,21,79,0,561,21,3/21,26.71,7.1,22.5,0,0,3,0
KK Nair,2,-,-,-,-,-,-,-,-,-,-,-,0,0
DP Nannes,2,2,4,1,31,2,1/0,15.5,7.75,12,0,0,1,0
P Negi,14,14,36.1,0,246,17,3/10,14.47,6.8,12.7,0,0,3,0
R Ninan,2,2,6,0,65,3,2/31,21.66,10.83,12,0,0,1,0
AA Noffke,1,1,4,0,40,1,1/40,40,10,24,0,0,0,0
MK Pandey,18,-,-,-,-,-,-,-,-,-,-,-,10,0
Pankaj Singh,5,5,15,1,146,4,2/27,36.5,9.73,22.5,0,0,1,0
P Parameswaran,3,3,10,0,87,5,3/30,17.4,8.7,12,0,0,1,0
Parvez Rasool,4,4,14,0,129,1,1/31,129,9.21,84,0,0,2,0
HV Patel,36,34,113.5,0,971,34,3/43,28.55,8.53,20,0,0,11,0
PA Patel,18,-,-,-,-,-,-,-,-,-,-,-,14,1
AUK Pathan,8,3,6.3,0,63,0,-,-,9.69,-,0,0,2,0
DT Patil,2,-,-,-,-,-,-,-,-,-,-,-,2,0
KP Pietersen,13,10,23,0,162,7,2/31,23.14,7.04,19.7,0,0,6,0
LA Pomersbach,5,-,-,-,-,-,-,-,-,-,-,-,5,0
CA Pujara,14,-,-,-,-,-,-,-,-,-,-,-,4,0
KL Rahul,19,-,-,-,-,-,-,-,-,-,-,-,7,4
R Rampaul,12,12,43.4,4,298,14,3/31,21.28,6.82,18.7,0,0,4,0
S Rana,9,2,2,0,16,0,-,-,8,-,0,0,3,0
KW Richardson,4,4,14,0,136,7,3/13,19.42,9.71,12,0,0,2,0
RR Rossouw,5,-,-,-,-,-,-,-,-,-,-,-,2,0
JD Ryder,5,5,17,0,115,3,2/14,38.33,6.76,34,0,0,2,0
Sachin Baby,14,2,1.4,0,8,2,2/4,4,4.8,5,0,0,3,0
DJG Sammy,2,2,3,0,25,0,-,-,8.33,-,0,0,1,0
T Shamsi,4,4,16,0,147,3,1/21,49,9.18,32,0,0,1,0
KV Sharma,1,-,-,-,-,-,-,-,-,-,-,-,0,0
RP Singh,11,11,39.5,0,335,13,3/13,25.76,8.41,18.3,0,0,4,0
TG Southee,8,8,29,0,261,5,3/30,52.2,9,34.8,0,0,3,0
S Sriram,1,1,2,0,24,0,-,-,12,-,0,0,0,0
B Stanlake,2,2,8,0,70,2,2/29,35,8.75,24,0,0,1,0
MA Starc,27,26,96.4,1,693,34,4/15,20.38,7.16,17,1,0,16,0
DW Steyn,28,28,106,1,720,27,3/18,26.66,6.79,23.5,0,0,7,0
J Syed Mohammad,11,11,32,0,283,8,2/15,35.37,8.84,24,0,0,1,0
YV Takawale,5,-,-,-,-,-,-,-,-,-,-,-,2,1
LRPL Taylor,22,1,1,0,13,0,-,-,13,-,0,0,7,0
SS Tiwary,40,-,-,-,-,-,-,-,-,-,-,-,10,0
JD Unadkat,13,13,49,0,370,13,5/25,28.46,7.55,22.6,0,1,1,0
RV Uthappa,31,-,-,-,-,-,-,-,-,-,-,-,14,4
RE van der Merwe,11,11,38,0,275,11,2/22,25,7.23,20.7,0,0,5,0
JJ van der Wath,3,3,12,0,129,3,2/49,43,10.75,24,0,0,0,0
DL Vettori,22,22,86.4,0,547,17,3/19,32.17,6.31,30.5,0,0,7,0
R Vinay Kumar,64,63,217.3,0,1822,72,4/40,25.3,8.37,18.1,1,0,22,0
Vishnu Vinod,3,-,-,-,-,-,-,-,-,-,-,-,0,2
M Vohra,4,-,-,-,-,-,-,-,-,-,-,-,0,0
Washington Sundar,7,7,20,0,192,4,2/22,48,9.6,30,0,0,0,0
SR Watson,24,24,83.2,0,730,25,4/29,29.2,8.76,20,1,0,8,0
CL White,15,2,2,0,43,0,-,-,21.5,-,0,0,7,0
D Wiese,15,14,46.2,0,402,16,4/33,25.12,8.67,17.3,1,0,6,0
CR Woakes,5,5,18.2,0,190,8,3/36,23.75,10.36,13.7,0,0,1,0
UT Yadav,14,14,53.1,1,418,20,3/23,20.9,7.86,15.9,0,0,2,0
Yuvraj Singh,14,10,22.4,0,187,5,4/35,37.4,8.25,27.2,1,0,4,0
VH Zol,3,-,-,-,-,-,-,-,-,-,-,-,0,0
Anand Rajan,6,6,16.5,0,159,6,3/27,26.5,9.44,16.8,0,0,2,0
Anirudh Singh,5,-,-,-,-,-,-,-,-,-,-,-,3,0
Ankit Sharma,9,9,24.1,0,165,4,1/9,41.25,6.82,36.2,0,0,0,0
A Ashish Reddy,9,9,27.1,0,237,11,3/25,21.54,8.72,14.8,0,0,0,0
SB Bangar,11,9,25,0,219,4,2/34,54.75,8.76,37.5,0,0,2,0
AA Bilakhia,7,-,-,-,-,-,-,-,-,-,-,-,1,0
B Chipli,19,1,1,0,20,0,-,-,20,-,0,0,2,0
DT Christian,21,21,72.4,0,583,19,2/13,30.68,8.02,22.9,0,0,13,0
H Das,1,-,-,-,-,-,-,-,-,-,-,-,0,0
KH Devdhar,1,-,-,-,-,-,-,-,-,-,-,-,0,1
S Dhawan,29,6,8,0,66,4,1/7,16.5,8.25,12,0,0,11,0
JP Duminy,19,14,30,0,247,5,1/3,49.4,8.23,36,0,0,8,0
FH Edwards,6,6,23.2,1,154,5,2/27,30.8,6.6,28,0,0,0,0
HH Gibbs,33,-,-,-,-,-,-,-,-,-,-,-,22,0
AC Gilchrist,46,-,-,-,-,-,-,-,-,-,-,-,25,13
MS Gony,9,9,33,0,292,7,3/31,41.71,8.84,28.2,0,0,1,0
Harmeet Singh,17,17,53.5,0,419,14,2/23,29.92,7.78,23,0,0,3,0
DJ Harris,4,2,3,0,26,0,-,-,8.66,-,0,0,2,0
RJ Harris,16,16,61.4,2,463,20,3/18,23.15,7.5,18.5,0,0,10,0
IR Jaggi,5,-,-,-,-,-,-,-,-,-,-,-,2,0
Jaskaran Singh,8,7,17,0,171,6,2/18,28.5,10.05,17,0,0,0,0
AA Jhunjhunwala,5,3,6,0,38,1,1/13,38,6.33,36,0,0,2,0
D Kalyankrishna,3,3,8,0,87,2,1/30,43.5,10.87,24,0,0,1,0
VVS Laxman,17,-,-,-,-,-,-,-,-,-,-,-,4,0
MJ Lumb,1,-,-,-,-,-,-,-,-,-,-,-,1,0
CA Lynn,1,-,-,-,-,-,-,-,-,-,-,-,1,0
I Malhotra,1,1,1,0,23,0,-,-,23,-,0,0,0,0
MR Marsh,3,3,10,0,88,2,1/19,44,8.8,30,0,0,0,0
A Mishra,28,28,100.2,2,735,32,4/9,22.96,7.32,18.8,1,0,3,0
MD Mishra,11,-,-,-,-,-,-,-,-,-,-,-,1,0
T Mishra,1,-,-,-,-,-,-,-,-,-,-,-,1,0
PP Ojha,54,53,186.1,0,1328,60,3/21,22.13,7.13,18.6,0,0,11,0
PA Patel,14,-,-,-,-,-,-,-,-,-,-,-,5,1
V Pratap Singh,9,9,34,0,296,10,2/31,29.6,8.7,20.4,0,0,0,0
DB Ravi Teja,30,2,3,0,28,1,1/19,28,9.33,18,0,0,11,0
PA Reddy,5,-,-,-,-,-,-,-,-,-,-,-,0,0
KAJ Roach,2,2,8,0,80,0,-,-,10,-,0,0,1,0
BB Samantray,1,-,-,-,-,-,-,-,-,-,-,-,0,0
KC Sangakkara,25,-,-,-,-,-,-,-,-,-,-,-,26,2
PM Sarvesh Kumar,2,2,5,0,42,1,1/18,42,8.4,30,0,0,0,0
Shahid Afridi,10,10,30,0,225,9,3/28,25,7.5,20,0,0,4,0
I Sharma,12,12,44,0,314,11,5/12,28.54,7.13,24,0,1,3,0
R Sharma,6,6,20.4,0,167,5,2/42,33.4,8.08,24.8,0,0,1,0
RG Sharma,45,22,46,0,339,14,4/6,24.21,7.36,19.7,1,0,22,0
Shoaib Ahmed,8,7,17,0,152,5,2/20,30.4,8.94,20.4,0,0,4,0
LPC Silva,3,1,1,0,21,0,-,-,21,-,0,0,3,0
RP Singh,42,42,153,2,1229,51,4/22,24.09,8.03,18,1,0,16,0
DR Smith,11,10,17.5,0,160,2,1/22,80,8.97,53.5,0,0,6,0
S Sohal,11,-,-,-,-,-,-,-,-,-,-,-,0,0
DW Steyn,24,24,92.1,3,584,32,3/8,18.25,6.33,17.2,0,0,5,0
SB Styris,10,10,35,0,263,8,3/32,32.87,7.51,26.2,0,0,1,0
TP Sudhindra,3,3,11.4,0,136,1,1/46,136,11.65,70,0,0,0,0
TL Suman,26,7,17,0,132,5,2/14,26.4,7.76,20.4,0,0,5,0
B Sumanth,5,-,-,-,-,-,-,-,-,-,-,-,4,0
A Symonds,28,27,83.5,0,633,19,3/21,33.31,7.55,26.4,0,0,16,0
J Theron,2,2,8,0,66,2,2/37,33,8.25,24,0,0,0,0
WPUJC Vaas,13,13,47,2,355,18,3/21,19.72,7.55,15.6,0,0,0,0
Y Venugopal Rao,33,14,30,0,269,6,2/23,44.83,8.96,30,0,0,7,0
DP Vijaykumar,9,9,25.2,0,199,4,1/17,49.75,7.85,38,0,0,0,0
CL White,19,2,3,0,27,0,-,-,9,-,0,0,5,0
AS Yadav,8,-,-,-,-,-,-,-,-,-,-,-,1,0
DNT Zoysa,3,3,11,0,99,2,1/30,49.5,9,33,0,0,1,0
